Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  39.155.182.97           0   08c0.218f.380e  ARPA   GigabitEthernet0/0
Internet  39.155.182.98           7   0022.aacc.addd  ARPA   GigabitEthernet0/0
Internet  39.155.182.99           0   6cb7.490e.8da0  ARPA   GigabitEthernet0/0
Internet  39.155.182.104        142   e4a8.b661.f4b3  ARPA   GigabitEthernet0/0
Internet  39.155.182.116          -   0062.ec34.1098  ARPA   GigabitEthernet0/0
Internet  39.155.182.121          0   b0a7.5b43.00b0  ARPA   GigabitEthernet0/0
Internet  39.155.182.122          0   b0d8.bbae.0070  ARPA   GigabitEthernet0/0
Internet  39.155.182.126          0   b010.c222.00d0  ARPA   GigabitEthernet0/0
Internet  172.16.1.1              -   0062.ec34.1099  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.2              0   10b7.1394.04f7  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.5            103   001a.a11c.eec1  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.11             6   807c.621a.828d  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.13           114   000c.29dd.ed5d  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.21            10   0050.5668.b6e4  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.35             3   0050.5687.114d  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.51             1   9009.d003.efe1  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.84           119   a057.e317.60ef  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.100           21   80e8.6f03.9200  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.211           85   5000.0001.0000  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.212           36   5000.0002.0000  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.213           72   5000.0003.0000  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.214           47   5000.0004.0000  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.215           61   5000.0005.0000  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.216           67   5000.0006.0000  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.217           36   5000.000b.0000  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.218          222   5000.000c.0000  ARPA   GigabitEthernet0/1.10
Internet  172.16.1.253            0   5000.000d.0000  ARPA   GigabitEthernet0/1.10
Internet  192.168.12.253        212   001a.a11c.eec2  ARPA   GigabitEthernet0/1.12
Internet  192.168.12.254          -   0062.ec34.1099  ARPA   GigabitEthernet0/1.12
Internet  192.168.30.40           6   0050.5687.fde9  ARPA   GigabitEthernet0/1.300
Internet  192.168.30.50           1   0050.5687.5893  ARPA   GigabitEthernet0/1.300
Internet  192.168.30.80           4   0050.5687.9fcc  ARPA   GigabitEthernet0/1.300
Internet  192.168.30.101          0   Incomplete      ARPA   
Internet  192.168.30.253         97   001a.a11c.eec3  ARPA   GigabitEthernet0/1.300
Internet  192.168.30.254          -   0062.ec34.1099  ARPA   GigabitEthernet0/1.300
