Destination/Mask   Proto   Pre Cost        NextHop         Interface
0.0.0.0/0          Static  60  0           200.1.1.1       GE1/0/2
0.0.0.0/32         Direct  0   0           127.0.0.1       InLoop0
10.10.20.0/30      Direct  0   0           10.10.20.2      GE1/0/1
10.10.20.0/32      Direct  0   0           10.10.20.2      GE1/0/1
10.10.20.2/32      Direct  0   0           127.0.0.1       InLoop0
10.10.20.3/32      Direct  0   0           10.10.20.2      GE1/0/1
10.10.20.4/30      Direct  0   0           10.10.20.6      GE1/0/1.20
10.10.20.4/32      Direct  0   0           10.10.20.6      GE1/0/1.20
10.10.20.6/32      Direct  0   0           127.0.0.1       InLoop0
10.10.20.7/32      Direct  0   0           10.10.20.6      GE1/0/1.20
127.0.0.0/8        Direct  0   0           127.0.0.1       InLoop0
127.0.0.0/32       Direct  0   0           127.0.0.1       InLoop0
127.0.0.1/32       Direct  0   0           127.0.0.1       InLoop0
127.255.255.255/32 Direct  0   0           127.0.0.1       InLoop0
192.168.1.0/24     Static  60  0           10.10.20.1      GE1/0/1
192.168.2.0/24     Static  60  0           10.10.20.1      GE1/0/1
192.168.3.0/24     Static  60  0           10.10.20.5      GE1/0/1.20
192.168.4.0/24     Static  60  0           10.10.20.5      GE1/0/1.20
200.1.1.0/24       Direct  0   0           200.1.1.2       GE1/0/2
200.1.1.0/32       Direct  0   0           200.1.1.2       GE1/0/2
200.1.1.2/32       Direct  0   0           127.0.0.1       InLoop0
200.1.1.3/32       Direct  1   0           0.0.0.0         NULL0
200.1.1.4/32       Direct  1   0           0.0.0.0         NULL0
200.1.1.5/32       Direct  1   0           0.0.0.0         NULL0
200.1.1.255/32     Direct  0   0           200.1.1.2       GE1/0/2
200.1.2.0/24       Direct  0   0           200.1.2.2       GE1/0/2.200
200.1.2.0/32       Direct  0   0           200.1.2.2       GE1/0/2.200
200.1.2.2/32       Direct  0   0           127.0.0.1       InLoop0
200.1.2.3/32       Direct  1   0           0.0.0.0         NULL0
200.1.2.4/32       Direct  1   0           0.0.0.0         NULL0
200.1.2.5/32       Direct  1   0           0.0.0.0         NULL0
200.1.2.255/32     Direct  0   0           200.1.2.2       GE1/0/2.200
200.1.3.0/24       Direct  0   0           200.1.3.2       GE1/0/2.300
200.1.3.0/32       Direct  0   0           200.1.3.2       GE1/0/2.300
200.1.3.2/32       Direct  0   0           127.0.0.1       InLoop0
200.1.3.3/32       Direct  1   0           0.0.0.0         NULL0
200.1.3.4/32       Direct  1   0           0.0.0.0         NULL0
200.1.3.5/32       Direct  1   0           0.0.0.0         NULL0
200.1.3.255/32     Direct  0   0           200.1.3.2       GE1/0/2.300
224.0.0.0/4        Direct  0   0           0.0.0.0         NULL0
224.0.0.0/24       Direct  0   0           0.0.0.0         NULL0
255.255.255.255/32 Direct  0   0           127.0.0.1       InLoop0
